BUKRS,WERKS,BLDAT,MATNR,MENGE,MEINS,DMBTR,KOSTL
IN01,1000,01.03.2024,DIESEL-HSD-001,500,L,412500,CC-MFG-01
IN01,2000,15.03.2024,DIESEL-HSD-001,320,L,206250,CC-MFG-02
IN01,1000,2024/03/28,LPG-COMM-002,800,KG,56000,CC-GEN
IN01,3000,31.03.2024,ELEC-GRID-003,,KWH,89000,CC-FAC
IN01,1000,05.04.2024,DIESEL-HSD-001,3000,L,247500,CC-MFG-01
IN01,2000,2024-04-10,PETROL-MS-004,1200,L,108000,CC-LOG
IN01,1000,12.04.2024,DIESEL-HSD-001,2500,KL,206250,CC-OPS
IN01,2000,20.04.2024,NATGAS-COM-005,4500,M3,108000,CC-HEAT
IN01,1000,01.05.2024,DIESEL-HSD-001,100,L,8250,CC-MFG-01
IN01,3000,10.05.2024,DIESEL-HSD-001,200,GAL,1550,CC-STORE
IN01,1000,15.05.2024,UNKNOWN-UNK-999,500,BBL,412500,CC-FAC
IN01,2000,20.05.2024,DIESEL-HSD-001,-50,L,-4125,CC-OPS
IN01,1000,01.03.2024,DIESEL-HSD-001,500,L,412500,CC-MFG-01
IN01,2000,15.03.2024,NATGAS-COM-002,1200,M3,108000,CC-HEAT
IN01,1000,2024/03/28,LPG-COMM-003,800,KG,56000,CC-GEN
IN01,3000,31.03.2024,DIESEL-HSD-001,2000,L,165000,CC-OPS
IN01,1000,05.04.2024,NATGAS-COM-001,3000,M3,144000,CC-HEAT
IN01,2000,2024-04-10,DIESEL-HSD-002,1500,L,123750,CC-LOG
IN01,1000,12.04.2024,PETROL-MS-001,1800,KL,148500,CC-OPS
IN01,2000,20.04.2024,DIESEL-HSD-001,2200,L,181500,CC-FAC
IN01,1000,01.05.2024,DIESEL-HSD-001,4500,L,371250,CC-MFG-02
IN01,3000,10.05.2024,NATGAS-COM-003,5000,M3,240000,CC-HEAT
IN01,1000,15.05.2024,DIESEL-HSD-001,600,L,49500,CC-OPS
IN01,2000,20.05.2024,LPG-COMM-001,1500,KG,105000,CC-GEN
IN01,1000,25.05.2024,DIESEL-HSD-001,800,GAL,6188,CC-LOG
