trip_id,employee_id,travel_date,mode,origin,destination,cabin_class,hotel_nights,hotel_name
TRP-001,EMP-101,2024-03-10,FLIGHT,DEL,BOM,ECONOMY,0,
TRP-002,EMP-102,2024-03-12,HOTEL,BOM,BOM,,2,Taj Hotel Mumbai
TRP-003,EMP-101,2024-03-15,FLIGHT,BOM,LHR,BUSINESS,0,
TRP-004,EMP-103,2024-03-18,FLIGHT,BLR,DEL,ECONOMY,0,
TRP-005,EMP-104,2024-03-20,FLIGHT,SIN,DXB,BUSINESS,0,
TRP-006,EMP-102,2024-04-05,FLIGHT,DEL,BOM,ECONOMY,0,
TRP-007,EMP-101,2024-04-08,HOTEL,BOM,BOM,,3,Intercontinental Mumbai
TRP-008,EMP-103,2024-04-10,FLIGHT,LHR,BLR,ECONOMY,0,
TRP-009,EMP-102,2024-04-12,FLIGHT,BLR,BOM,ECONOMY,0,
TRP-010,EMP-105,2024-04-15,FLIGHT,DEL,XYZ,ECONOMY,0,
TRP-011,EMP-101,2024-04-18,FLIGHT,SIN,BOM,BUSINESS,0,
TRP-012,EMP-104,2024-04-20,HOTEL,BLR,BLR,,1,Marriott Bangalore
TRP-013,EMP-103,2024-04-22,FLIGHT,BOM,DEL,ECONOMY,0,
TRP-014,EMP-102,2024-04-25,TRAIN,DEL,BLR,,0,
TRP-015,EMP-101,2024-05-01,FLIGHT,BLR,LHR,BUSINESS,0,
