meter_id,account_number,period_start,period_end,kwh_consumed,peak_kw,tariff_code,amount_inr
MTR-001,ACC-00123,2024-01-05,2024-02-04,48250,48.3,HT-IND,386000
MTR-002,ACC-00124,2024-01-11,2024-02-10,12400,31.7,LT-IND,111600
MTR-001,ACC-00123,2024-02-05,2024-03-05,51800,52.1,HT-IND,414400
MTR-003,ACC-00125,2024-01-08,2024-02-07,,25.4,LT-COM,0
MTR-002,ACC-00124,2024-02-11,2024-03-12,13100,32.8,LT-IND,117900
MTR-001,ACC-00123,2024-03-06,2024-04-04,49500,49.9,HT-IND,396000
MTR-004,ACC-00126,2024-02-15,2024-03-14,28750,61.3,HT-COM,230000
MTR-002,ACC-00124,2024-03-13,2024-04-11,14200,33.5,LT-IND,127800
MTR-003,ACC-00125,2024-02-08,2024-03-08,8950,24.1,LT-COM,89500
MTR-001,ACC-00123,2024-04-05,2024-05-04,52100,50.6,HT-IND,416800
MTR-002,ACC-00124,2024-04-12,2024-05-11,11850,30.2,LT-IND,106650
MTR-004,ACC-00126,2024-03-15,2024-04-13,31200,62.8,HT-COM,249600
